Player Name,Opponent,Market,Odds,Trend Context,Linemate Percentage,Bet Hit,Actual Value
Josh Giddey,PHI,Over 5.5 Assists,-134,Hit in 5 of his last 5 home games,100%,True,11.0
Nikola Vučević,PHI,Over 1.5 3PTM,-192,Hit in 5 of his last 5 games,100%,False,1.0
Nikola Vučević,PHI,Over 1.5 3PTM,-192,Hit in 5 of his last 5 home games,100%,False,1.0
Coby White,PHI,Over 3.5 Assists,-158,Hit in 8 of his last 8 home games,100%,True,5.0
Coby White,PHI,Over 3.5 Rebounds,110,Hit in 4 of his last 4 home games,100%,True,4.0
Joel Embiid,CHI,Over 7.5 Rebounds,-130,Hit in 13 of his last 14 games,93%,True,12.0
Zach LaVine,PHI,Under 4.5 Rebounds,-124,Hit in 4 of his last 4 games vs PHI,100%,True,4.0
Zach LaVine,PHI,Over 2.5 3PTM,-136,Hit in 5 of his last 5 home games,100%,True,6.0
Ayo Dosunmu,PHI,Over 4.5 Assists,106,Hit in 4 of his last 4 games,100%,True,5.0
Ayo Dosunmu,PHI,Over 4.5 Assists,106,Hit in 6 of his last 6 home games,100%,True,5.0
Ayo Dosunmu,PHI,Under 22.5 P+A+R,-118,Hit in 6 of his last 6 games vs PHI,100%,True,22.0
Nikola Vučević,PHI,Over 31.5 P+A+R,-152,Hit in 7 of his last 8 games,88%,False,26.0
Ayo Dosunmu,PHI,Under 1.5 3PTM,-118,Hit in 6 of his last 6 games vs PHI,100%,False,2.0
Joel Embiid,CHI,Under 1.5 3PTM,-194,Hit in 4 of his last 4 games,100%,True,0.0
Josh Giddey,PHI,Under 1.5 3PTM,-225,Hit in 4 of his last 4 games,100%,True,1.0
Josh Giddey,PHI,Under 1.5 3PTM,-225,Hit in 4 of his last 4 games vs PHI,100%,True,1.0
Coby White,PHI,Over 7.5 REB+AST,-115,Hit in 4 of his last 4 home games,100%,True,9.0
Ayo Dosunmu,PHI,Under 7.5 REB+AST,108,Hit in 6 of his last 6 games vs PHI,100%,False,8.0
Ayo Dosunmu,PHI,Under 18.5 PTS+AST,-113,Hit in 6 of his last 6 games vs PHI,100%,False,19.0
Joel Embiid,CHI,Over 11.5 REB+AST,-113,Hit in 4 of his last 4 games vs CHI,100%,True,16.0
Joel Embiid,CHI,Over 7.5 Rebounds,-130,Hit in 7 of his last 7 away games,100%,True,12.0
Joel Embiid,CHI,Under 1.5 Blocks,-190,Hit in 5 of his last 5 games,100%,False,2.0
Josh Giddey,PHI,Over 2.5 Turnovers,105,Hit in 6 of his last 6 games,100%,True,4.0
Coby White,PHI,Under 1.5 STL+BLK,-210,Hit in 4 of his last 4 games,100%,True,0.0
Zach LaVine,PHI,Under 0.5 Blocks,-350,Hit in 10 of his last 10 games,100%,True,0.0
Ayo Dosunmu,PHI,Over 0.5 Steals,-210,Hit in 6 of his last 6 games,100%,False,0.0
Joel Embiid,CHI,Over 3.5 Turnovers,115,Hit in 5 of his last 5 games vs CHI,100%,True,6.0
Joel Embiid,CHI,Under 2.5 STL+BLK,-190,Hit in 5 of his last 5 games,100%,True,2.0
Nic Claxton,MIL,Under 8.5 Rebounds,-146,Hit in 7 of his last 7 games,100%,False,10.0
